dataset_id,name,domain,platform,environment,modalities,access,license_spdx,commercial_use,url,link_check_status,last_checked,notes_short,tags
treescope-agri-forestry-lidar-mapping,TreeScope (agri/forestry LiDAR mapping),agriculture,multi,forest;orchard,lidar;rgb;depth;thermal;imu;gnss,open,CC-BY-NC-SA-4.0,no,https://treescope.org/,OK,2026-02-02,Agri/forestry mapping dataset (TreeScope): UAV flights + ground sensor platform; LiDAR + RGB-D + thermal + GNSS/IMU. License: CC BY-NC-SA 4.0 (see TreeScope site).,agricultures;verger_forêt_arbres
ard-vo-vineyards-olive-groves,ARD-VO (Vineyards & Olive Groves),agriculture,ugv,vineyard;orchard,rgb;imu;gnss,open,CC-BY-NC-SA-3.0,no,https://github.com/isarlab-department-engineering/ARDVO,OK,2026-02-02,ARD-VO dataset for visual odometry in vineyards & olive groves (UGV). License: CC BY-NC-SA 3.0. Repo includes links to download data.,agricultures;agriculture
citrusfarm-dataset,CitrusFarm Dataset,agriculture,ugv,orchard,lidar;rgb;depth;thermal;imu;gnss,open,CC-BY-SA-4.0,yes,https://github.com/UCR-Robotics/Citrus-Farm-Dataset,OK,2026-02-02,Citrus-Farm Dataset (UGV) in citrus groves: LiDAR + RGB/stereo + thermal + GNSS/IMU.,agricultures;agriculture
rosario-dataset-v2,Rosario Dataset v2,agriculture,ugv,agriculture_field,rgb;depth;imu;gnss;pose_gt,open,Unknown,unknown,https://cifasis.github.io/rosariov2/,OK,2026-02-02,"Rosario Dataset v2: UGV runs in a soybean plantation; RealSense D435i (RGB+IR/depth), multiple IMUs, GNSS, wheel/motor odom; optional ground-truth add-on. License not stated on landing page.",agricultures;agriculture_soja
hilti-slam-challenge-2023-handheld-runs,Hilti SLAM Challenge 2023 (handheld runs),industrial,handheld,industrial_site;building_indoor,lidar;rgb;imu,open,CC-BY-NC-SA-3.0,no,https://hilti-challenge.com/dataset-2023,OK_UPDATED_URL,2026-02-02,Hilti SLAM Challenge Dataset 2023 — handheld runs (construction/industrial scenes). Licensed CC BY-NC-SA 3.0.,chantiers;chantier_benchmark
hilti-slam-challenge-2023-robot-runs,Hilti SLAM Challenge 2023 (robot runs),industrial,ugv,industrial_site;building_indoor,lidar;rgb;imu,open,CC-BY-NC-SA-3.0,no,https://hilti-challenge.com/dataset-2023,OK_UPDATED_URL,2026-02-02,Hilti SLAM Challenge Dataset 2023 — robot runs (construction/industrial scenes). Licensed CC BY-NC-SA 3.0.,chantiers;benchmark
boreal-forest-fire-uav-collected-wildfire-detection-smoke-segmentation,Boreal Forest Fire (UAV-collected wildfire detection & smoke segmentation),emergency_response,uav,forest;fire_smoke,rgb,open,CC-BY-4.0,yes,https://etsin.fairdata.fi/dataset/1dce1023-493a-4d63-a906-f2a44f831898,OK_JS_REQUIRED,2026-02-02,Boreal Forest Fire dataset: UAV imagery with wildfire/smoke annotations from Finnish boreal forests (hosted on Fairdata/Etsin).,fire;divers;incendie_drone_dji_phantom_4_rgb
flame-dataset-pile-burn-detection-using-drones,FLAME dataset (pile burn detection using drones),emergency_response,uav,fire_smoke,rgb;thermal,open,CC-BY-4.0,yes,https://experts.nau.edu/en/datasets/the-flame-dataset-aerial-imagery-pile-burn-detection-using-drones-2/,OK,2026-02-02,FLAME dataset (pile-burn): UAV videos + thermal heatmaps; published via IEEE DataPort under CC BY 4.0.,fire;divers;incendie_drone_uav_rgb_masques
fireman-uav-rgbt-wildfire-monitoring-finland,"FireMan-UAV-RGBT (wildfire monitoring, Finland)",emergency_response,uav,fire_smoke,rgb;thermal,open,CC-BY-4.0,yes,https://zenodo.org/records/13732947,OK,2026-02-02,FireMan-UAV-RGBT: UAV-captured RGB + thermal videos from controlled burns (Finland). Zenodo record indicates CC BY 4.0.,fire;divers;incendie_drone_uav_rgb_thermal
wit-uas-dataset-wildland-fire-infrared-thermal,WIT-UAS Dataset (Wildland-fire Infrared Thermal),emergency_response,uav,fire_smoke,thermal,open,Unknown,unknown,https://github.com/castacks/WIT-UAS-Dataset,OK,2026-02-02,WIT-UAS: aerial IR thermal dataset for wildland fire / crew-asset detection. License not clearly stated in repo.,fire;divers;incendie_drone_uas_lwir_thermique
firesense-database-videos-flame-smoke-detection,FIRESENSE database (videos flame & smoke detection),emergency_response,unknown,fire_smoke,rgb,open,CC-BY-4.0,yes,https://zenodo.org/records/836749,OK,2026-02-02,FIRESENSE: annotated videos for flame/smoke detection (Zenodo). License: CC BY 4.0.,smoke;fire;divers;incendie_vidéos_tests_algos_rgb
furg-fire-dataset-non-stationary-video-fire-detection,Furg-Fire Dataset (non-stationary video fire detection),emergency_response,unknown,fire_smoke,rgb,open,CC0-1.0,yes,https://github.com/steffensbola/furg-fire-dataset,OK,2026-02-02,Furg-Fire dataset: non-stationary video fire detection benchmark. GitHub indicates CC0-1.0.,fire;divers;incendie_robot_mobile_cam_embarquée_rgb
hpwren-fire-ignition-library-figlib,HPWREN Fire Ignition Library (FIgLib),wildfire,fixed_sensors,wildland_outdoor,rgb_video;annotations,open,Unknown,unknown,https://wifire-data.sdsc.edu/dataset/hpwren-fire-ignition-library,OK,2026-02-02,WIFIRE/HPWREN Fire Ignition Library; license not specified on portal.,wildfire;camera_network;ignition;hpwren;wifire
deepersense-flc-fls-red-sea-eilat,DeeperSense FLC+FLS (Red Sea / Eilat),marine,auv_rov,marine_underwater,rgb;sonar,open,CC-BY-4.0,yes,https://zenodo.org/records/10373154,OK,2026-02-02,Zenodo record; Forward-Looking Camera (FLC) + Forward-Looking Sonar (FLS).,underwater;sonar;rgb;deepsense;eilat;red_sea
mosaic-under-ice-rov-screenshots,MOSAiC Under-ice ROV screenshots,marine,auv_rov,arctic_under_ice,rgb_images,open,CC-BY-4.0,yes,https://doi.pangaea.de/10.1594/PANGAEA.953166,OK,2026-02-02,MOSAiC under-ice ROV screenshots (PANGAEA DOI).,mosaic;arctic;under_ice;rov;images
noaa-ocean-exploration-video-portal-rov-dives,NOAA Ocean Exploration Video Portal (ROV dives),marine,auv_rov,deep_sea,rgb_video,open,CC0-1.0,yes,https://www.ncei.noaa.gov/access/ocean-exploration/video/,OK_DEGRADED_HEAVY_USAGE,2026-02-02,Portal sometimes rate-limited; NOAA says portal videos are public domain (credit requested).,noaa;ncei;okeanos;rov;deep_sea;video
shipwreck-dataset-lirmm,Shipwreck-Dataset (LIRMM),marine,auv_rov,shipwreck_underwater,rgb_images;sonar;imu;depth,open,Restricted,no,https://www.lirmm.fr/shipwreck-dataset/,OK,2026-02-02,Academic use only per dataset page; download via LIRMM GitLab.,shipwreck;archaeology;rov;sonar;rgb;imu;depth
uwslamdataset,UWslamdataset,marine,multi,marine_underwater,rgb_images;pose,open,CC0-1.0,yes,https://github.com/gidobot/UWslamdataset,OK,2026-02-02,Underwater SLAM dataset (diver + ROV); CC0 stated in repo.,underwater;slam;stereo;rov;diver;cc0
conslam-construction-dataset-for-slam,ConSLAM (construction dataset for SLAM),built_environment,handheld,construction_site,rgb;lidar;imu,open,Restricted,no,https://github.com/mac137/ConSLAM,OK_GITHUB;DATA_LINK_EXTERNAL,2026-02-02,"GitHub repo provides dataset link (external). License: academic use only, all rights reserved.",construction;slam;rosbag;lidar;imu;rgb
google-cartographer-backpack-deutsches-museum,Google Cartographer backpack (Deutsches Museum),built_environment,handheld,indoor_museum,lidar;imu,open,Apache-2.0,yes,https://google-cartographer-ros.readthedocs.io/en/latest/data.html,OK_PAGE;FILES_LARGE,2026-02-02,Cartographer backpack dataset page; data links are large bag files (tool fetch may fail).,cartographer;backpack;indoor;lidar;imu;rosbag;museum
hilti-slam-challenge-dataset-2023,Hilti SLAM Challenge Dataset 2023,built_environment,ground_robot,industrial_indoor,lidar;rgb;imu;depth,open,CC-BY-NC-SA-3.0,no,https://hilti-challenge.com/dataset-2023,OK,2026-02-02,Hilti SLAM Challenge dataset page states CC BY-NC-SA 3.0.,hilti;slam;industrial;warehouse;benchmark
echord-into-the-dirt-barcelona-sewers,Echord++ 'Into the dirt' (Barcelona sewers),infrastructure,multi,sewer_underground,rosbag;rgbd;other_sensors,open,CC-BY-NC-SA-3.0,no,https://robotics.upo.es/datasets/echord/,OK,2026-02-02,SIAR ground robot + ARSI aerial platform; ROS bags; CC BY-NC-SA 3.0 on site.,sewer;underground;inspection;ground_robot;drone;rosbag;barcelona
whu-pa3d-planetary-analogue,WHU-PA3D (planetary analogue),planetary_analogue,ground_robot,outdoor_desert,rgb;lidar,on_request,Unknown,unknown,https://isprs-archives.copernicus.org/articles/XLVIII-2-W5-2025/449/2025/isprs-archives-XLVIII-2-W5-2025-449-2025.pdf,OK_PAPER_ONLY,2026-02-02,ISPRS paper PDF is accessible; dataset download not clearly linked (likely request authors).,planetary;analogue;desert;dataset_paper;whu
aerial-inspection-dataset-mesh-based-mapping,Aerial inspection dataset (mesh_based_mapping),aerial_robotics,uav,outdoor,stereo_rgb;imu,open,GPL-3.0-only,unknown,https://github.com/VIS4ROB-lab/mesh_based_mapping,OK,2026-02-02,Repo includes code + dataset links; license text says GPLv3 for research purposes; check dependencies (Fade2D).,uav;aerial_inspection;mesh;okvis;rosbag;stereo;imu
dtu-wind-turbine-inspection-images-nordtank,DTU wind turbine inspection images (Nordtank),industrial,uav,wind_turbine,rgb_images,open,CC-BY-NC-3.0,no,https://data.mendeley.com/datasets/hd96prn3nc/2,OK,2026-02-02,Mendeley Data. UAV imagery of a wind turbine (DTU). License CC BY-NC 3.0.,uav;inspection;wind_turbine;rgb
fogo-uav-survey-cha-das-caldeiras,Fogo UAV survey (Chã das Caldeiras),planetary_analogue,uav,volcanic_lava_fields,orthomosaic_rgb;dsm;point_cloud;pix4d_report,open,CC-BY-4.0,yes,https://zenodo.org/records/4718520,OK_PAGE;FILES_LARGE,2026-02-02,"Zenodo: DSM + orthomosaics of Chã das Caldeiras lava fields (Fogo, Dec 2016). Keywords include point cloud; large downloads.",uav;volcano;lava_fields;mapping;orthomosaic;dsm
lascar-volcano-products,Lascar volcano products,planetary_analogue,uav,volcanic_edifice,point_cloud_las;thermal_orthomosaic_tif;orthomosaic_tif;dsm_dem,open,CC-BY-4.0,yes,https://zenodo.org/records/17122265,OK,2026-02-02,Zenodo: UAV+Pléiades products at Lascar volcano; includes LAS point clouds and thermal orthomosaics (GeoTIFF).,uav;satellite;volcano;thermal;orthomosaic;point_cloud
shiveluch-volcano-photogrammetry,Shiveluch volcano photogrammetry,planetary_analogue,uav,volcanic_dome,satellite_images;airborne_images;dem;point_cloud;thermal,open,CC-BY-4.0,yes,https://dataservices.gfz-potsdam.de/panmetaworks/showshort.php?id=0088c8a5-b286-11eb-9603-497c92695674,OK_UPDATED_URL,2026-02-02,"GFZ Data Services / panmetaworks: optical satellite + helicopter aerial images, DEM, point clouds, thermal infrared for Shiveluch volcano.",satellite;airborne;volcano;dem;thermal;point_cloud
baseprod,BASEPROD,planetary_analogue,ugv,semi_desert_planetary_analogue,stereo_rgb;rgbd;thermal;imu;gnss_rtk;force_torque;point_cloud;dsm;orthomosaic;mesh;weather;libs,open,Unknown,unknown,https://doi.org/10.57780/esa-xxd1ysw,OK,2026-02-02,BASEPROD (ESA): rover sensor dataset + drone mapping products + LIBS and weather; Bardenas Reales semi-desert analogue site.,planetary_analogue;rover;drone_mapping;stereo;thermal;rtk;libs
cerberus-subt-finals-louisville-mega-cavern,CERBERUS SubT Finals (Louisville Mega Cavern),underground,multi,subterranean_caves_tunnels_urban,stereo_rgb;imu;lidar;ground_truth_3d;rosbag,open,Unknown,unknown,https://github.com/leggedrobotics/cerberus_darpa_subt_datasets,OK_UPDATED_URL,2026-02-02,CERBERUS (DARPA SubT): dataset links for stereo images + synchronized IMU/LiDAR and ground-truth structure (ETH research collection).,darpa_subt;underground;anymal;stereo;lidar;imu;ground_truth
darpa-subt-urban-circuit-reference-dataset,DARPA SubT Urban Circuit reference dataset,underground,ugv,tunnels_urban_underground,lidar_ouster_os1_64;stereo;multisense_sl;co2_sensor;rosbag;ground_truth_support,open,Unknown,unknown,https://github.com/subtchallenge/tunnel_urban_reference_datasets,OK_UPDATED_URL,2026-02-02,DARPA SubT Tunnel/Urban reference datasets: PackBot/Husky with Ouster OS1-64 + Multisense SL (stereo+lidar) + CO2; rosbags hosted on AWS S3.,darpa_subt;tunnel;urban;ouster;multisense;rosbag;ground_truth
